Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
FSLR,https://www.tradingview.com/chart/?symbol=FSLR,"First Solar, Inc.",Technology,258.64,27772395520,23.6,65.1,30.75,16.66,33.11,236.7,233.3,True,True,True,BULLISH TREND,False,62.8,POSITIVE,5,"Lyft upgraded, Leidos downgraded: Wall Street's top analyst calls | Investors Heavily Search First Solar, Inc. (FSLR): Here is What You Need to Know | First Solar (FSLR) Stock Valuation Check After Strong Recent Share Price Gains",16.69,11.05,1147664768.0,5.943,18.44,30.73,87.92,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,366.715,4474927579136,21.8,82.0,19.26,-5.34,41.78,367.17,310.72,False,True,True,BUY THE DIP,False,59.26,NEUTRAL,5,"Stock Market Forecast For Next Six Months: Why More Gains May Lie Ahead | Alphabet Stock Slips as Waymo Recalls Nearly 3,900 Robotaxis | Alphabet (GOOGL) Faces Waymo Recall And Gemini Leadership Exit",27.99,25.32,27921750016.0,20.026,38.88,37.92,87.24,BUY SIGNAL
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,365.12,4457477701632,21.8,82.0,19.28,-5.08,43.25,364.4,310.24,True,True,True,BUY THE DIP,False,59.26,NEUTRAL,5,"Stock Market Forecast For Next Six Months: Why More Gains May Lie Ahead | Alphabet Stock Slips as Waymo Recalls Nearly 3,900 Robotaxis | Alphabet (GOOGL) Faces Waymo Recall And Gemini Leadership Exit",27.88,25.2,27921750016.0,20.026,38.88,37.92,87.24,BUY SIGNAL
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,1126.965,1271125377024,196.3,756.0,144.22,61.31,59.03,732.66,400.59,True,True,True,BULLISH TREND,False,59.64,NEUTRAL,5,"Why Apple Price Hikes Are Sending Micron Stock Toward a Record High | SanDisk Jumps 11%, Western Digital Rises 7% After Apple Flags “Unavoidable” Memory Price Hikes | Wall St advances as Iran deal optimism offsets hawkish Fed; Intel jumps",53.09,9.84,2893499904.0,14.902,39.82,41.49,87.22,BUY SIGNAL
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,210.29,5093916147712,85.2,214.5,16.7,-4.57,49.61,209.11,189.68,True,True,True,BULLISH TREND,False,51.43,NEUTRAL,5,"Amazon CEO Jassy says company could sell AI chips, raising stakes for Nvidia, AMD | Intel jumps after Trump says Apple, Intel reached US chip deal | How This High Yield Fund Keeps Paying Through Economic Uncertainty",32.21,16.52,46335873024.0,6.555,114.29,62.97,87.21,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,363.41,62105083904,31.5,35.6,27.91,5.61,61.24,343.91,246.47,True,True,True,BULLISH TREND,False,66.93,POSITIVE,5,Keysight (KEYS) Up 2.5% Since Last Earnings Report: Can It Continue? | Is Teledyne Technologies Stock Underperforming the Nasdaq? | Will Keysight's VPIphotonics Acquisition Strengthen its Growth Story?,58.61,30.65,1085750016.0,43.642,18.17,17.31,86.3,BUY SIGNAL
LLY,https://www.tradingview.com/chart/?symbol=LLY,Eli Lilly and Company,Healthcare,1099.725,980670283776,55.5,169.9,20.0,7.67,48.82,1010.28,963.46,True,True,True,BULLISH TREND,False,59.19,NEUTRAL,5,Cathie Wood Goes Bargain Hunting: 3 Stocks She Just Bought | Can Pfizer Take Share From Lilly & Novo Nordisk in the Obesity Space? | Can Wegovy Pill's Europe Push Help NVO Offset Mounting Pressures?,39.04,24.72,9156599808.0,139.015,107.46,34.99,84.84,BUY SIGNAL
UAL,https://www.tradingview.com/chart/?symbol=UAL,"United Airlines Holdings, Inc.",Industrials,119.14,38669238272,10.6,84.5,28.79,33.68,54.63,100.93,102.27,True,True,False,BULLISH TREND,False,55.58,NEUTRAL,5,United (UAL) Faces A Cheaper Fuel Outlook After Strait Of Hormuz Reopens | Analysts' Top S&P 500 Stocks to Buy Now | Archer Aviation vs. Karman: Which Aerospace Stock Is a Better Buy in 2026?,10.66,8.38,1647000064.0,195.081,25.73,6.06,84.3,BUY SIGNAL
TER,https://www.tradingview.com/chart/?symbol=TER,"Teradyne, Inc.",Technology,430.13,67333480448,87.0,314.8,43.4,33.83,60.3,371.99,253.2,True,True,True,BULLISH TREND,False,54.64,NEUTRAL,5,"Stock Market Growth Screens Pack Punch At Investors.com. Here's Where To Find Them. | NBIS Stock Rally Rolls On After Record High: Retail Sees 'Shorts Drowning In Losses' As Nasdaq-100 Inclusion Nears | Dear CoreWeave Stock Fans, Mark Your Calendars for June 22",79.65,45.26,298311264.0,2.621,28.75,22.55,83.32,BUY SIGNAL
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,1098.315,295139180544,16.3,1816.5,28.0,8.61,67.19,1021.59,771.69,True,True,True,BULLISH TREND,False,49.55,NEUTRAL,5,GE Vernova Supplier Breaks Out As Data Centers Lift Construction Sector | What GE Vernova Stock's Shadow Backlog Was Saying Before The Surge | Dow Jones Futures Rise After Warsh's Fed Hits Stocks; SpaceX Falls As Robinhood Jumps,32.12,44.81,9315624960.0,24.925,75.71,23.81,83.16,BUY SIGNAL
