Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,1054.135,283267170304,16.3,1816.5,26.82,-8.3,46.87,986.63,740.49,True,True,True,HIGH CONVICTION DIP BUY,True,64.39,POSITIVE,5,"Stock Market Week Ahead: Marvell, Dell And The Fed's Inflation Gauge | 2 Energy Stocks That Are the Smartest Long-Term Buys During the Energy Boom | Will GE Vernova, MercadoLibre, or NVR Be the Next Big Stock Split?",30.79,43.01,9315624960.0,24.925,75.71,23.81,92.95,BUY SIGNAL
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,486.46,167615479808,45.5,482.9,73.5,20.63,60.29,379.41,221.33,True,True,True,BULLISH TREND,False,52.87,NEUTRAL,5,"US stocks rebound, cybersecurity sector surges to record highs | Up 550% YTD, SanDisk Stock at $1,540: Buy, Sell or Hold? | Can Seagate Sustain Its Gross Margin Expansion Momentum?",29.07,27.91,2075000064.0,17.81,85.92,55.29,89.43,BUY SIGNAL
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,771.3399,869866274816,196.3,756.0,83.31,60.12,68.16,519.38,322.51,True,True,True,BULLISH TREND,False,45.23,NEUTRAL,5,"US stocks rebound, cybersecurity sector surges to record highs | Micron Starts Making 1-Alpha DRAM Chips In The US, Says It Will ‘Strengthen America’s Domestic Memory Supply’ | Melius Research Raises Qualcomm (QCOM) Price Target, Sees More Upside in AI Semiconductor Stocks",36.4,7.51,2893499904.0,14.902,39.82,41.49,88.82,BUY SIGNAL
EOG,https://www.tradingview.com/chart/?symbol=EOG,"EOG Resources, Inc.",Energy,140.65,74914201600,15.6,39.6,15.89,5.06,48.44,137.48,117.64,True,True,True,BULLISH TREND,False,77.94,POSITIVE,5,What EOG Resources (EOG)'s Record Free Cash Flow And Payout Plan Means For Shareholders | All You Need to Know About EOG Resources (EOG) Rating Upgrade to Strong Buy | New Strong Buy Stocks for May 21st,13.82,9.75,2864250112.0,26.873,18.2,23.32,86.24,BUY SIGNAL
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,217.436,5266517524480,85.2,214.5,13.52,8.91,64.53,196.85,187.03,True,True,True,BULLISH TREND,False,60.39,POSITIVE,5,"Nvidia vs. AMD vs. Intel: Which is the best chip stock to own? | US stocks rebound, cybersecurity sector surges to record highs | Here's Why Navitas Semiconductor Soares Today (Hint: It's Nvidia Related)",33.35,17.19,73735872512.0,6.555,114.29,62.97,85.83,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,346.25,59118202880,31.5,35.6,41.33,-0.08,46.95,324.12,230.34,True,True,True,BULLISH TREND,False,59.61,NEUTRAL,5,"Keysight Technologies (KEYS) Is Down 6.6% After Record Q2 Results And Surging AI-Driven Revenue Growth | KEYS Q2 Earnings Beat on Communications, Industrial Segment Growth | Why UnitedHealth (UNH) Remains a Turnaround Bet Despite Policy and Cost Pressure",55.76,29.2,1143250048.0,43.579,18.17,17.31,85.72,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,386.0352,4676987650048,21.8,82.0,24.02,13.91,52.12,341.2,295.97,True,True,True,BULLISH TREND,False,59.54,NEUTRAL,5,Maybe investors can wait to buy SpaceX after IPO: Lee Munson | Why SpaceX's IPO could be the biggest market opportunity in history | Rising US Borrowing Costs Won't Slow Massive AI Data-Center Buildout as Potential Profit Outweighs Spending,29.47,26.71,27921750016.0,20.026,38.88,37.92,84.86,BUY SIGNAL
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,382.39,4632600379392,21.8,82.0,22.77,13.22,52.2,338.9,295.81,True,True,True,BULLISH TREND,False,59.54,NEUTRAL,5,Maybe investors can wait to buy SpaceX after IPO: Lee Munson | Why SpaceX's IPO could be the biggest market opportunity in history | Rising US Borrowing Costs Won't Slow Massive AI Data-Center Buildout as Potential Profit Outweighs Spending,29.17,26.46,27921750016.0,20.026,38.88,37.92,84.86,BUY SIGNAL
LRCX,https://www.tradingview.com/chart/?symbol=LRCX,Lam Research Corporation,Technology,308.22,385450999808,23.8,40.8,27.37,19.21,68.24,255.86,188.28,True,True,True,BULLISH TREND,False,61.72,POSITIVE,5,"Why Is Lam Research (LRCX) Up 16.9% Since Last Earnings Report? | Lam Research Salzburg Lab Targets AI Packaging And Richly Valued Shares | Teradyne, Monolithic Power Systems, Vishay Intertechnology, Lam Research, and Semtech Stocks Trade Up, What You Need To Know",58.26,38.86,4352341504.0,35.282,66.76,30.94,84.39,BUY SIGNAL
ANET,https://www.tradingview.com/chart/?symbol=ANET,"Arista Networks, Inc.",Technology,154.26,194239463424,35.1,25.0,21.05,-10.6,37.32,147.07,139.8,True,True,True,BUY THE DIP,False,63.21,POSITIVE,5,How is Ciena Advancing AI and Cloud Network Infrastructure? | Arista’s Gartner Leadership Highlights Push Into Campus And AIOps Software | Is Arista (ANET) One Of The Best Extremely Profitable Stocks To Buy According To Wall Street?,53.01,34.67,4362237440.0,,31.52,38.32,82.91,BUY SIGNAL
