Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,206.907,5011567280128,85.2,214.5,13.86,-6.82,45.14,208.59,189.5,False,True,True,BUY THE DIP,False,65.19,POSITIVE,5,How SpaceX and 'MANGOS' are fueling the latest ETF trends | 5 stunning stats about the world's most valuable stocks | What investors should know before hopping on SpaceX options trades,31.69,16.26,46335873024.0,6.555,114.29,62.97,88.62,BUY SIGNAL
FSLR,https://www.tradingview.com/chart/?symbol=FSLR,"First Solar, Inc.",Technology,262.36,28191461376,23.6,65.1,30.91,12.29,34.76,235.7,233.03,True,True,True,BULLISH TREND,False,62.8,POSITIVE,5,"Lyft upgraded, Leidos downgraded: Wall Street's top analyst calls | Investors Heavily Search First Solar, Inc. (FSLR): Here is What You Need to Know | First Solar (FSLR) Stock Valuation Check After Strong Recent Share Price Gains",16.94,11.21,1147664768.0,5.943,18.44,30.73,87.92,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,364.9499,4453327437824,21.8,82.0,17.45,-8.0,35.66,366.2,309.95,False,True,True,BUY THE DIP,False,54.4,NEUTRAL,5,"How SpaceX and 'MANGOS' are fueling the latest ETF trends | SpaceX's near $3 trillion rally comes with one big catch: Chart of the Day | SpaceX extends historic rally, rockets to No. 4 by market value",27.86,25.2,27921750016.0,20.026,38.88,37.92,86.85,BUY SIGNAL
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,362.81,4427825545216,21.8,82.0,17.33,-7.65,36.89,363.4,309.48,False,True,True,BUY THE DIP,False,54.4,NEUTRAL,5,"How SpaceX and 'MANGOS' are fueling the latest ETF trends | SpaceX's near $3 trillion rally comes with one big catch: Chart of the Day | SpaceX extends historic rally, rockets to No. 4 by market value",27.7,25.03,27921750016.0,20.026,38.88,37.92,86.85,BUY SIGNAL
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,1054.26,1188924882944,196.3,756.0,128.44,54.69,57.79,718.48,395.6,True,True,True,BULLISH TREND,False,50.0,NEUTRAL,5,SpaceX's near $3 trillion rally comes with one big catch: Chart of the Day | Western Digital stock jumps as AI trade reignites | Will Micron Split Its Stock This Year?,49.66,9.2,2893499904.0,14.902,39.82,41.49,86.45,BUY SIGNAL
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,111.39,118914703360,45.8,78.6,0.55,1.64,53.8,110.36,101.96,True,True,True,BULLISH TREND,False,54.4,NEUTRAL,5,Do Women-Run Companies Make Better Investments? 5 Stocks to Buy | Does Newmont (NEM) Have the Potential to Rally 30.14% as Wall Street Analysts Expect? | Newmont (NEM) Stock Could Be 38.7% Undervalued After Leadership Reshuffle,14.45,9.78,9804874752.0,15.762,25.83,33.87,86.2,BUY SIGNAL
INCY,https://www.tradingview.com/chart/?symbol=INCY,Incyte Corporation,Healthcare,100.95,20168007680,20.9,83.8,7.14,6.05,54.93,98.16,96.75,True,True,True,BULLISH TREND,False,66.39,POSITIVE,5,"MIRM, INCY Report Positive Rare Disease Data as FDA Begins NDA Review (Revised) | MIRM, INCY Report Positive Rare Disease Data as FDA Begins NDA Review | Incyte Buys Vega To Add Late Stage Von Willebrand Disease Opportunity",14.26,11.02,558867008.0,0.701,30.82,26.71,84.91,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,355.26,60712288256,31.5,35.6,23.62,4.34,57.74,343.1,245.49,True,True,True,BULLISH TREND,False,69.19,POSITIVE,5,Will Keysight's VPIphotonics Acquisition Strengthen its Growth Story? | 2 Momentum Industrials Stocks with Exciting Potential and 1 Facing Headwinds | Can Viavi's New TETRA Testing Upgrade Strengthen Its Growth Story?,57.3,29.96,1085750016.0,43.642,18.17,17.31,84.39,BUY SIGNAL
UAL,https://www.tradingview.com/chart/?symbol=UAL,"United Airlines Holdings, Inc.",Industrials,118.12,38338179072,10.6,84.5,26.75,27.63,53.68,100.52,102.2,True,True,False,BULLISH TREND,False,55.58,NEUTRAL,5,United (UAL) Faces A Cheaper Fuel Outlook After Strait Of Hormuz Reopens | Analysts' Top S&P 500 Stocks to Buy Now | Archer Aviation vs. Karman: Which Aerospace Stock Is a Better Buy in 2026?,10.57,8.31,1647000064.0,195.081,25.73,6.06,84.3,BUY SIGNAL
VRT,https://www.tradingview.com/chart/?symbol=VRT,Vertiv Holdings Co,Industrials,322.555,123896209408,30.1,135.7,20.2,-5.04,53.01,320.53,222.83,True,True,True,BUY THE DIP,False,61.61,POSITIVE,5,Jim Cramer Notes “Forgent Became an Incredible Performer” | Can Modine Overcome Supply Chain Hurdles in the Data Center Business? | AI Data Center Cooling: MOD's Pivot vs. VRT's Moat - The Better Bet?,81.04,36.44,1964749952.0,76.913,45.1,14.37,83.68,BUY SIGNAL
LLY,https://www.tradingview.com/chart/?symbol=LLY,Eli Lilly and Company,Healthcare,1115.11,994389721088,55.5,169.9,20.07,12.86,47.47,1007.38,961.64,True,True,True,BULLISH TREND,False,44.18,NEUTRAL,5,SpaceX's near $3 trillion rally comes with one big catch: Chart of the Day | Jim Cramer on Eli Lilly: “I Want You to Stay in the Stock” | Eli Lilly (LLY) Halves $2.7 Billion Germany Investment Over Europe Drug Pricing,39.59,25.06,9156599808.0,139.015,107.46,34.99,83.63,BUY SIGNAL
TER,https://www.tradingview.com/chart/?symbol=TER,"Teradyne, Inc.",Technology,421.87,66040438784,87.0,314.8,40.96,31.45,57.28,370.81,251.72,True,True,True,BULLISH TREND,False,51.03,NEUTRAL,5,Jim Cramer Says SaaS Companies Like Zscaler “Have Fallen Viciously Out of Favor on Wall Street” | Teradyne (TER) Joins The Nasdaq 100 As It Lands A $139.9 Million Air Force Deal | Decoding LRCX Stock's Premium Valuation,78.12,44.39,298311264.0,2.621,28.75,22.55,83.03,BUY SIGNAL
AVGO,https://www.tradingview.com/chart/?symbol=AVGO,Broadcom Inc.,Technology,396.56,1886665965568,47.9,85.4,23.68,-5.74,44.05,410.53,358.6,False,True,True,BUY THE DIP,False,51.22,NEUTRAL,5,SpaceX's near $3 trillion rally comes with one big catch: Chart of the Day | Wall Street wavers ahead of first Fed policy decision under Warsh | The Real Engine for Advanced Micro Devices Stock Might Not Be What You Think,65.76,20.49,27212249088.0,74.018,37.28,38.85,82.85,BUY SIGNAL
WST,https://www.tradingview.com/chart/?symbol=WST,"West Pharmaceutical Services, Inc.",Healthcare,326.345,23055489024,21.0,56.1,36.41,7.21,54.26,303.71,270.9,True,True,True,BULLISH TREND,False,60.34,POSITIVE,5,Reasons to Retain QuidelOrtho Stock in Your Portfolio for Now | LivaNova Reports Improved OSA Outcomes With PolySync Programming | Reasons to Retain Baxter International Stock in Your Portfolio for Now,43.63,34.15,275662496.0,10.734,19.13,16.85,82.78,BUY SIGNAL
DELL,https://www.tradingview.com/chart/?symbol=DELL,Dell Technologies Inc.,Technology,422.21,273637654528,87.5,282.5,176.79,77.38,66.32,277.8,171.47,True,True,True,BULLISH TREND,False,58.69,NEUTRAL,5,Jim Cramer Says “It’s an Easy Call to Say to Buy Dell and to Believe in Michael Dell” | Find Top AI Stocks Using This Zacks Tool | Dell Holds Dividend Steady at 63 Cents,33.59,19.96,5434124800.0,,,6.28,82.4,BUY SIGNAL
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,116.745,59421442048,27.9,3860.0,7.15,-1.11,63.29,114.7,110.39,True,True,True,BULLISH TREND,False,51.53,NEUTRAL,5,MarketBeat Week in Review – 06/08 - 06/12 | The “Duck Stock” Keeps Quietly Making Money for Shareholders | How Aflac (AFL) Investors Can Read A Steady Target And Evolving Company Story,13.34,15.35,4923125248.0,48.276,16.47,25.6,82.22,BUY SIGNAL
CPAY,https://www.tradingview.com/chart/?symbol=CPAY,"Corpay, Inc.",Technology,362.44,23689775104,25.4,49.1,21.65,4.0,56.6,334.42,312.18,True,True,True,BULLISH TREND,False,54.6,NEUTRAL,5,Accenture Set to Report Q3 Earnings: Here's What You Should Know | 1 Profitable Stock on Our Buy List and 2 We Ignore | 1 S&P 500 Stock with Impressive Fundamentals and 2 We Brush Off,21.72,11.84,2095142784.0,271.343,32.12,24.6,82.17,BUY SIGNAL
ANET,https://www.tradingview.com/chart/?symbol=ANET,"Arista Networks, Inc.",Technology,169.535,213473296384,35.1,25.0,27.4,19.64,60.52,158.14,142.02,True,True,True,BULLISH TREND,False,57.12,NEUTRAL,5,"Arista Networks (ANET) Stock After 87% Annual Gain Is It Time To Pause? | Arista’s Very Good, Very Bad Year | AI Powers Arista Networks Stock, But Its Real Strength Lies Elsewhere",58.26,38.1,4362237440.0,,31.52,38.32,82.12,BUY SIGNAL
ROST,https://www.tradingview.com/chart/?symbol=ROST,"Ross Stores, Inc.",Consumer Cyclical,236.74,75941715968,20.6,37.4,13.39,12.38,60.33,225.6,189.96,True,True,True,BULLISH TREND,False,65.21,POSITIVE,5,Ross Stores (ROST) Stock Valuation Check After Strong Multi Year Returns And Premium P/E Ratio | Ross Stores (ROST) Upgraded to Strong Buy: Here's What You Should Know | Burlington Stores Is on a Hot Streak. The Stock Is Still Worth Checking Out.,33.11,27.64,2047583488.0,74.911,38.98,9.74,81.97,BUY SIGNAL
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,1032.945,277572976640,16.3,1816.5,22.44,2.1,55.48,1018.02,769.01,True,True,True,BULLISH TREND,False,59.52,NEUTRAL,5,"GE Vernova Supplier Near Breakout As Data Centers Lift Construction Sector | Lyft upgraded, Leidos downgraded: Wall Street's top analyst calls | GE Vernova Highlights More Generation, Carbon Reductions, New Technologies in Sustainability Report",30.21,42.14,9315624960.0,24.925,75.71,23.81,81.86,BUY SIGNAL
CSCO,https://www.tradingview.com/chart/?symbol=CSCO,"Cisco Systems, Inc.",Technology,118.49,467020578816,12.0,37.1,50.29,-0.33,49.8,104.34,81.89,True,True,True,BULLISH TREND,False,51.38,NEUTRAL,5,Find Top AI Stocks Using This Zacks Tool | Is Cisco Systems (CSCO) Stock Outpacing Its Computer and Technology Peers This Year? | Cisco Systems (CSCO) Stock After 87% One-Year Rally Is The Price Still Reasonable,39.5,24.81,9288375296.0,67.541,25.23,19.68,81.31,BUY SIGNAL
DDOG,https://www.tradingview.com/chart/?symbol=DDOG,"Datadog, Inc.",Technology,231.24,82312232960,32.2,104.0,79.44,10.74,52.52,184.02,151.02,True,True,True,BULLISH TREND,False,61.79,POSITIVE,5,"Stocks Indexes Finish Mostly Lower as Chipmakers Retreat | Broader Market Weakens as Energy and Software Stocks Fall | Datadog, Inc. (DDOG) Is a Trending Stock: Facts to Know Before Betting on It",592.92,80.95,936726528.0,32.221,3.93,3.69,80.89,BUY SIGNAL
ADI,https://www.tradingview.com/chart/?symbol=ADI,"Analog Devices, Inc.",Technology,424.12,206583349248,37.2,110.5,35.59,1.6,51.97,398.42,308.03,True,True,True,BULLISH TREND,False,58.38,NEUTRAL,5,ADI vs. ALAB: Which AI Semiconductor Stock is a Better Buy? | TXN's Manufacturing Expansion Continues: Can It Strengthen Margins? | Stocks Supported by Lower Crude Oil Prices and Bond Yields,62.93,28.71,3868954624.0,25.81,9.64,26.01,80.62,BUY SIGNAL
LRCX,https://www.tradingview.com/chart/?symbol=LRCX,Lam Research Corporation,Technology,384.15,480406831104,23.8,40.8,69.63,38.2,66.62,295.51,208.43,True,True,True,BULLISH TREND,False,48.72,NEUTRAL,5,"Can AMAT's Semiconductor Systems Segment Sustain Momentum in 2026? | Semiconductor Stocks Climb in Premarket Trade Following Intel Manufacturing Milestone | Citi lifts PTs on AMAT, LRCX, & KLAC amid booming WFE demand",72.76,48.16,4352341504.0,35.282,66.76,30.94,80.6,BUY SIGNAL
FTNT,https://www.tradingview.com/chart/?symbol=FTNT,"Fortinet, Inc.",Technology,144.02,105516023808,20.1,28.6,73.18,13.82,63.57,112.82,89.56,True,True,True,BULLISH TREND,False,55.67,NEUTRAL,5,Is SASE Emerging as a Key Growth Driver for Palo Alto Networks? | Fortinet (FTNT) Partners with NVIDIA (NVDA) to Accelerate GPU-Powered AI Security | Stocks Indexes Finish Mostly Lower as Chipmakers Retreat,56.04,42.04,1813049984.0,57.31,132.39,27.49,80.25,BUY SIGNAL
NTAP,https://www.tradingview.com/chart/?symbol=NTAP,"NetApp, Inc.",Technology,158.21,31012163584,12.5,23.4,56.02,31.19,60.02,129.11,113.87,True,True,True,BULLISH TREND,False,71.35,POSITIVE,5,Western Digital Stock's Thousand-Percent Question | Can Seagate's Mozaic HAMR Platform Strengthen Its Competitive Edge? | Seagate's Strengthening Free Cash Flow: Can Growth Continue?,24.93,16.05,1295250048.0,202.295,106.73,18.43,80.21,BUY SIGNAL
APH,https://www.tradingview.com/chart/?symbol=APH,Amphenol Corporation,Technology,163.64,201315565568,58.4,24.1,21.35,34.44,66.06,142.14,136.0,True,True,True,BULLISH TREND,False,64.95,POSITIVE,5,Why Amphenol (APH) Stock Is Trading Up Today | Analyst Raises Amphenol (APH) Price Target Citing AI-Related Growth Opportunities | Is Defense Becoming a Long-Term Growth Driver for Amphenol?,47.02,28.78,3563725056.0,133.051,36.83,17.24,80.15,BUY SIGNAL
TXN,https://www.tradingview.com/chart/?symbol=TXN,Texas Instruments Incorporated,Technology,304.9204,277505867776,18.6,31.3,57.61,1.44,45.25,278.92,207.94,True,True,True,BULLISH TREND,False,60.68,POSITIVE,5,TXN's Manufacturing Expansion Continues: Can It Strengthen Margins? | Qualcomm Stock's Next Chapter Might Be Written In The Cloud | What Applied Materials Stock Was Shouting Before The Surge,52.21,32.37,1068249984.0,83.741,32.35,29.11,80.05,BUY SIGNAL
AMZN,https://www.tradingview.com/chart/?symbol=AMZN,"Amazon.com, Inc.",Consumer Cyclical,239.82,2579770114048,16.6,74.8,11.44,-9.45,23.16,256.68,232.72,False,True,True,BUY THE DIP,False,58.03,NEUTRAL,5,"Tech stocks today: Uber and Lucid expanding in Houston,  Intel's latest chip moves | SpaceX closes in on Amazon in sprint toward $3 trillion | SpaceX Shares Fall for First Time Since Blockbuster Debut",30.86,24.32,9806624768.0,53.3,24.29,12.22,80.04,BUY SIGNAL
DXCM,https://www.tradingview.com/chart/?symbol=DXCM,"DexCom, Inc.",Healthcare,73.32,28292208640,15.0,92.2,8.91,12.64,52.92,66.51,67.54,True,True,False,BULLISH TREND,False,63.03,POSITIVE,5,Analysts' Top S&P 500 Stocks to Buy Now | 1 Cash-Producing Stock with Impressive Fundamentals and 2 We Find Risky | DXCM Receives FDA Clearance for Stelo OTC CGM System for Children,31.47,23.79,1056637504.0,46.833,35.62,19.31,80.04,BUY SIGNAL
AMD,https://www.tradingview.com/chart/?symbol=AMD,"Advanced Micro Devices, Inc.",Technology,521.745,850757681152,37.8,91.2,165.78,23.93,50.56,405.12,259.32,True,True,True,BULLISH TREND,False,50.0,NEUTRAL,5,"Western Digital stock jumps as AI trade reignites | AMD, Intel Rise as TSMC Capacity Tightens | Jim Cramer Says His Favorite Is NVIDIA “But AMD Is Fantastic”",174.5,39.82,7173374976.0,6.005,8.06,13.37,79.95,BUY SIGNAL
DVA,https://www.tradingview.com/chart/?symbol=DVA,DaVita Inc.,Healthcare,212.88,13663703040,6.0,43.5,41.94,6.7,68.95,179.16,141.99,True,True,True,BULLISH TREND,False,83.19,POSITIVE,5,DaVita Expands Specialized Care Beyond Acute Settings Through IKC | Best Value Stocks to Buy for June 17th | Best Growth Stocks to Buy for June 17th,20.49,12.39,999662976.0,1261.331,80.98,5.65,79.56,BUY SIGNAL
NXPI,https://www.tradingview.com/chart/?symbol=NXPI,NXP Semiconductors N.V.,Technology,307.495,77633593344,12.2,130.7,59.31,5.42,41.11,278.96,232.24,True,True,True,BULLISH TREND,False,51.0,NEUTRAL,5,TXN's Manufacturing Expansion Continues: Can It Strengthen Margins? | NXP Semiconductors (NXPI) Registers a Bigger Fall Than the Market: Important Facts to Note | Stocks Indexes Finish Mostly Lower as Chipmakers Retreat,29.43,17.44,2727124992.0,103.991,25.81,21.03,79.53,BUY SIGNAL
JBL,https://www.tradingview.com/chart/?symbol=JBL,Jabil Inc.,Technology,384.74,40591077376,23.1,96.2,46.68,13.58,58.42,347.11,259.81,True,True,True,BULLISH TREND,False,56.67,NEUTRAL,5,"Netflix, AST SpaceMobile, and Jabil lead today's Trending Tickers | Jabil Raises Full-Year Forecast Amid Robust AI Demand | Why Jabil's Stock Jumped 14% Wednesday Morning",51.71,26.06,1203750016.0,328.91,59.7,2.48,79.48,BUY SIGNAL
BLK,https://www.tradingview.com/chart/?symbol=BLK,"BlackRock, Inc.",Financial Services,1068.445,173994672128,27.0,45.9,10.65,-1.05,57.48,1042.02,1058.58,True,True,False,BULLISH TREND,False,46.19,NEUTRAL,5,The Zacks Analyst Blog Highlights SpaceX and BlackRock | BlackRock (BLK) Launches Bitcoin Income ETF To Expand Its Digital Assets Suite | Kraken Unit Inks $100 Million Private Loan With New Gulf Firm,26.87,17.6,7082375168.0,23.635,11.9,24.4,79.2,BUY SIGNAL
STX,https://www.tradingview.com/chart/?symbol=STX,Seagate Technology Holdings plc,Technology,1079.5001,242055217152,44.1,108.3,156.81,45.71,69.54,749.57,416.72,True,True,True,BULLISH TREND,False,50.0,NEUTRAL,5,"Western Digital Stock's Thousand-Percent Question | Seagate (STX) Stock Rallies As US Iran Ceasefire Lifts Memory Sector Mood | This Storage Stock Is Now Up More Than 700% in a Year, and the AI Boom Could Push It Even Higher.",102.61,39.85,1610000000.0,381.553,1787.97,21.6,79.2,BUY SIGNAL
CAT,https://www.tradingview.com/chart/?symbol=CAT,Caterpillar Inc.,Industrials,966.875,445334847488,22.2,30.2,37.99,11.91,62.56,868.64,665.81,True,True,True,BULLISH TREND,False,51.82,NEUTRAL,5,Dow Achieves a New Milestone: 4 Blue-Chip Stocks to Buy | 3 Stocks That Declared Dividend Hikes Recently Amid Geopolitical Tensions | Caterpillar (CAT) Is Recasting Its Growth Story With A $63 Billion AI Backlog,48.25,32.12,3776624896.0,230.793,51.33,13.33,79.1,BUY SIGNAL
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,725.26,249984172032,45.5,482.9,131.17,58.16,72.46,472.0,262.7,True,True,True,WATCH - OVERBOUGHT,False,46.62,NEUTRAL,5,"Netflix reportedly tried & failed to buy Roku, Western Digital is the new AI play | Western Digital stock jumps as AI trade reignites | Is Micron Stock's Data Center Engine Stalling, Or Just Drowned Out By AI?",43.45,40.17,2075000064.0,17.81,85.92,55.29,78.98,BUY SIGNAL
