Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,1078.12,289712406528,16.3,1816.5,23.08,-6.18,47.4,991.79,742.58,True,True,True,HIGH CONVICTION DIP BUY,True,62.15,POSITIVE,5,"3 Brilliant Energy Stocks to Buy Now and Hold for the Long Term | 4 Mega-Cap Stocks Positioned for a Potential Split | Here Are Tuesday’s Top Wall Street Analyst Research Calls: Albemarle, Booz Allen Hamilton, Cigna, DT Midstream, GE Vernova, Intel, Okta, Travelers, Occidental Petroleum, and More",31.55,43.98,9315624960.0,24.925,75.71,23.81,90.67,BUY SIGNAL
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,526.58,181502722048,45.5,482.9,86.65,30.34,63.05,384.46,223.58,True,True,True,BULLISH TREND,False,62.42,POSITIVE,5,"Google, Meta, Amazon, and 6 other tech stocks powering the stock market's profit excitement | Not Just Micron: Memory Melt-Up Pulls SanDisk Up 8%, Western Digital Up 10% | Western Digital Insiders Sold US$18m Of Shares Suggesting Hesitancy",31.51,30.23,2075000064.0,17.81,85.92,55.29,90.19,BUY SIGNAL
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,213.95,5182083039232,85.2,214.5,15.72,2.73,63.07,197.48,187.19,True,True,True,BULLISH TREND,False,64.03,POSITIVE,5,"Tech stocks today: Micron joins $1 trillion club, Qualcomm stock jumps on report of ByteDance chip deal | Freightos Limited Ordinary shares Q1 2026 Earnings Call Summary | Ituran Location and Control Ltd. Q1 2026 Earnings Call Summary",32.81,16.92,46335873024.0,6.555,114.29,62.97,88.22,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,386.6551,4684498075648,21.8,82.0,25.88,12.27,48.68,342.83,296.91,True,True,True,BULLISH TREND,False,52.25,NEUTRAL,5,"Google, Meta, Amazon, and 6 other tech stocks powering the stock market's profit excitement | This Proves The AI Boom Will Last Through 2027 | Companies Are Cutting Jobs for AI — But Not the Billions Paid to Investors",29.52,26.71,27921750016.0,20.026,38.88,37.92,86.38,BUY SIGNAL
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,382.5801,4635127971840,21.8,82.0,24.65,11.77,48.7,340.46,296.72,True,True,True,BULLISH TREND,False,52.25,NEUTRAL,5,"Google, Meta, Amazon, and 6 other tech stocks powering the stock market's profit excitement | This Proves The AI Boom Will Last Through 2027 | Companies Are Cutting Jobs for AI — But Not the Billions Paid to Investors",29.14,26.43,27921750016.0,20.026,38.88,37.92,84.28,BUY SIGNAL
WST,https://www.tradingview.com/chart/?symbol=WST,"West Pharmaceutical Services, Inc.",Healthcare,319.37,22562721792,21.0,56.1,28.35,4.39,57.6,279.22,264.63,True,True,True,BULLISH TREND,False,67.21,POSITIVE,5,"Natera Expands Austin Operations With New Sequencing Facility | A Look At West Pharmaceutical Services (WST) Valuation After Recent Share Price Momentum | GE HealthCare and UW Medicine Radiology Expand CT, MI Research Tie",42.75,33.43,275662496.0,10.734,19.13,16.85,83.33,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,353.2,60304838656,31.5,35.6,15.41,1.8,48.41,325.59,231.3,True,True,True,BULLISH TREND,False,54.78,NEUTRAL,5,Keysight (KEYS) Forms 'Hammer Chart Pattern': Time for Bottom Fishing? | Best Momentum Stock to Buy for May 26th | Keysight’s Q1 Earnings Call: Our Top 5 Analyst Questions,56.97,29.79,1143250048.0,43.579,18.17,17.31,83.23,BUY SIGNAL
AMZN,https://www.tradingview.com/chart/?symbol=AMZN,"Amazon.com, Inc.",Consumer Cyclical,263.06,2829334872064,16.6,74.8,26.52,-0.36,38.26,243.03,230.75,True,True,True,BULLISH TREND,False,72.42,POSITIVE,5,"Google, Meta, Amazon, and 6 other tech stocks powering the stock market's profit excitement | Dow Hits Fresh Record High as Iran Easing Hopes Lift Stocks | Snowflake Well-Positioned to Benefit From Rising AI Demand, Wedbush Says",31.24,26.68,9806624768.0,53.3,24.29,12.22,82.99,BUY SIGNAL
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,111.31,118829293568,45.8,78.6,-12.5,-7.78,52.9,110.88,99.38,True,True,True,BUY THE DIP,False,66.62,POSITIVE,5,AEM vs. NEM: Which Gold Mining Giant Should You Invest in Now? | Gina Rinehart Invests $97 Million in US Defense Stocks | Is Aura Minerals Positioned for Stronger GEO Growth in 2026?,14.44,9.73,9804874752.0,15.762,25.83,33.87,82.58,BUY SIGNAL
VRT,https://www.tradingview.com/chart/?symbol=VRT,Vertiv Holdings Co,Industrials,327.0978,125663117312,30.1,135.7,26.23,1.14,45.3,304.39,208.61,True,True,True,BULLISH TREND,False,50.0,NEUTRAL,5,"Nokia Stock Has More Than Doubled. Here’s What’s Fueling The Rally | Zacks.com featured highlights include Micron Technology, Murphy USA and Vertiv | Roth Capital Raises its Price Target on Vertiv (VRT)",81.79,37.02,1964749952.0,76.913,45.1,14.37,82.45,BUY SIGNAL
EOG,https://www.tradingview.com/chart/?symbol=EOG,"EOG Resources, Inc.",Energy,137.685,73334956032,15.6,39.6,14.55,3.42,45.41,137.59,117.76,True,True,True,BULLISH TREND,False,54.88,NEUTRAL,5,Here’s What Differentiates EOG Resources (EOG) from Competitors | Here’s Why EOG Resources (EOG) Surged in Q1 | IEO’s $0.55 quarterly dividend faces a critical test as oil prices hover near 12-month highs,13.54,9.55,2864250112.0,26.873,18.2,23.32,82.29,BUY SIGNAL
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,116.62,59357818880,27.9,3860.0,2.86,2.27,62.1,112.25,109.51,True,True,True,BULLISH TREND,False,51.53,NEUTRAL,5,Morgan Stanley Lifts Aflac (AFL) PT to $125 on Solid Insurance Trends | Aflac Raises 65.9B Yen in Japan Bond Market Amid Foreign Issuer Rush | Aflac Follows Alphabet Into Japan’s Booming Yen Bond Market,13.33,15.34,4923125248.0,48.276,16.47,25.6,82.22,BUY SIGNAL
TER,https://www.tradingview.com/chart/?symbol=TER,"Teradyne, Inc.",Technology,384.4,60174807040,87.0,314.8,15.58,-8.02,57.41,343.74,229.65,True,True,True,BULLISH TREND,False,59.45,NEUTRAL,5,Wall Street Analysts Think Teradyne (TER) Is a Good Investment: Is It? | Cathie Wood Is Dumping AMD and TSMC Stock. Here's What She's Buying Instead | Flex (FLEX) Expands Partnership with Teradyne Robotics for Intelligent Automation,71.45,40.41,298311264.0,2.621,28.75,22.55,81.61,BUY SIGNAL
ANET,https://www.tradingview.com/chart/?symbol=ANET,"Arista Networks, Inc.",Technology,159.06,200283488256,35.1,25.0,22.12,-10.09,42.54,147.58,139.9,True,True,True,BUY THE DIP,False,42.68,NEUTRAL,5,Orla Mining and BitFuFu have been highlighted as Zacks Bull and Bear of the Day | Nokia’s 140% Rally Turns AI Comeback Into Valuation Puzzle | Are Computer and Technology Stocks Lagging  Bandwidth (BAND) This Year?,54.66,35.75,4362237440.0,,31.52,38.32,81.26,BUY SIGNAL
