Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,103.79,110801305600,45.8,78.6,,,44.8,,,False,False,False,NO CLEAR ENTRY,False,54.4,NEUTRAL,5,Newmont Corporation (NEM) Stock Falls Amid Market Uptick: What Investors Need to Know | Do Women-Run Companies Make Better Investments? 5 Stocks to Buy | Does Newmont (NEM) Have the Potential to Rally 30.14% as Wall Street Analysts Expect?,13.46,9.11,9804874752.0,15.762,25.83,33.87,74.4,WATCHLIST
META,https://www.tradingview.com/chart/?symbol=META,"Meta Platforms, Inc.",Communication Services,577.22,1465228591104,33.1,62.4,,,33.22,,,False,False,False,NO CLEAR ENTRY,False,64.61,POSITIVE,5,Famous Wall Street Tech Analyst Names Meta and Amazon the Best Magnificent 7 Stock Buys Today | Boyce Takes Reins As Spekk's Chief Technology/AI Officer | The AI-driven cost crisis Wall Street has not started pricing yet,21.0,15.93,25558249472.0,35.608,32.93,32.84,73.77,WATCHLIST
EQT,https://www.tradingview.com/chart/?symbol=EQT,EQT Corporation,Energy,50.72,31724244992,49.9,490.0,,,28.21,,,False,False,False,NO CLEAR ENTRY,False,65.27,POSITIVE,5,EQT vs. Occidental Petroleum: Which Energy Stock Is a Better Buy in 2026? | EQT (EQT): 3 Reasons We Love This Stock | Devon Outperforms Industry in the Past Year: Buy or Hold the Stock?,9.62,10.95,2503225856.0,20.816,13.4,35.07,73.52,WATCHLIST
INCY,https://www.tradingview.com/chart/?symbol=INCY,Incyte Corporation,Healthcare,98.22,19622604800,20.9,83.8,,,53.33,,,False,False,False,NO CLEAR ENTRY,False,66.39,POSITIVE,5,"MIRM, INCY Report Positive Rare Disease Data as FDA Begins NDA Review (Revised) | MIRM, INCY Report Positive Rare Disease Data as FDA Begins NDA Review | Incyte Buys Vega To Add Late Stage Von Willebrand Disease Opportunity",13.87,10.72,558867008.0,0.701,30.82,26.71,73.11,WATCHLIST
PTC,https://www.tradingview.com/chart/?symbol=PTC,PTC Inc.,Technology,114.75,13254289408,21.7,268.9,,,25.94,,,False,False,False,NO CLEAR ENTRY,False,44.98,NEUTRAL,5,2 Mid-Cap Stocks to Keep an Eye On and 1 We Ignore | A Look At PTC (PTC) Valuation After New AI First Product Launches | Mazda Motor Settles on PTC Inc. (PTC)’s Codebeamer for Software-Defined Vehicle Development,11.03,13.27,986047232.0,35.78,34.4,41.58,71.4,WATCHLIST
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,210.69,5103122644992,85.2,214.5,,,45.67,,,False,False,False,NO CLEAR ENTRY,False,55.73,NEUTRAL,5,"Dow Jones Futures Fall With U.S. Markets Shut; Nvidia Leads 5 Stocks Near Buy Points, SpaceX Needs This | Famous Wall Street Tech Analyst Names Meta and Amazon the Best Magnificent 7 Stock Buys Today | Missed Out on the AI Memory Rally? These 3 Stocks Are Just Getting Started.",32.26,16.55,46335873024.0,6.555,114.29,62.97,70.86,WATCHLIST
FIS,https://www.tradingview.com/chart/?symbol=FIS,"Fidelity National Information Services, Inc.",Technology,38.21,19749951488,30.1,3040.6,,,30.35,,,False,False,False,NO CLEAR ENTRY,False,51.48,NEUTRAL,5,FIS Expands Community Banking Reach With First Commerce Bank Deal | Visa Stock And The Number Behind The Worry | FIS Expands Commercial Lending Suite With New Loan Trading Solution,7.41,5.58,2446874880.0,132.328,17.22,23.35,70.42,WATCHLIST
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,115.47,58772488192,27.9,3860.0,,,62.1,,,False,False,False,NO CLEAR ENTRY,False,51.53,NEUTRAL,5,"UNM Outperforms Industry, Trades Near 52-Week High: Time to Exit? | MarketBeat Week in Review – 06/08 - 06/12 | The “Duck Stock” Keeps Quietly Making Money for Shareholders",13.2,15.19,4923125248.0,48.276,16.47,25.6,70.42,WATCHLIST
HUBB,https://www.tradingview.com/chart/?symbol=HUBB,Hubbell Incorporated,Industrials,523.69,27672709120,11.1,12.5,6.62,13.82,69.86,501.62,469.32,True,True,True,BULLISH TREND,False,57.84,NEUTRAL,5,1 Unpopular Stock That Should Get More Attention and 2 We Brush Off | Is Hubbell Incorporated Stock Outperforming the S&P 500? | Hubbell (HUBB) Stock Valuation Check After Strong Multi‑Year Returns,30.91,23.33,541449984.0,72.468,25.82,15.1,70.03,WATCHLIST
FSLR,https://www.tradingview.com/chart/?symbol=FSLR,"First Solar, Inc.",Technology,257.7,27690731520,23.6,65.1,,,31.26,,,False,False,False,NO CLEAR ENTRY,False,64.08,POSITIVE,5,"Why First Solar (FSLR) Outpaced the Stock Market Today | Lyft upgraded, Leidos downgraded: Wall Street's top analyst calls | Investors Heavily Search First Solar, Inc. (FSLR): Here is What You Need to Know",16.64,11.01,1147664768.0,5.943,18.44,30.73,69.23,WATCHLIST
